title;text

Hannes Reichelt kam als 28. ins Ziel.(c) AP (Michael Probst)






Der Deutsche Andreas Sander landet auf Platz 24.(c) AP (Michael Probst)












Mit Platz drei zufrieden: Mauro Caviezel(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






Der Franzose Thomas Mermillod-Blondin fuhr auf den 42. Platz(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)






Der Schweizer Carlo Janka(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






Maxence Muzaton (Frankreich)(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






Natko Zrncic-Dim (Kroatien)(c) APA/AFP/DIMITAR DILKOFF (DIMITAR DILKOFF)






Blaise Giezendanner (FRA)(c) APA/AFP/DIMITAR DILKOFF (DIMITAR DILKOFF)






Marcel Hirscher ist mit 3,93 Sekunden Rückstand auf Rang 46(c) APA/AFP/FABRICE COFFRINI (FABRICE COFFRINI)






Marcel Hirscher(c) APA/AFP/FABRICE COFFRINI (FABRICE COFFRINI)






Martin Cater (Slowenien)(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)






Christof Innerhofer (Italien)(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)












Brice Roger (FRA)(c) APA/AFP/DIMITAR DILKOFF (DIMITAR DILKOFF)


