title;text
 Have you ever seen such a hard working mascot before? 🤔 #PyeongChang2018 cutest mascot, #Soohorang is busy cleaning up the snow for the athletes! 😍 Cheer him on! ❤️ 오늘도 알찬 하루였다..💕 -수호랑 @알펜시아스키점프센터⛷ 📺스키점프 여자 노멀힐 경기중! 과연 누가 금메달을 차지할까요!? (두둥) #열일하는수호랑 #수고했어오늘도Ein Beitrag geteilt von  PyeongChang2018 (@pyeongchang2018) am Feb 12," 2018 um 7:00 PST"""
"Die halbe Mannschaft steht;""Das Damentrio Gallhuber", Brunner und Liensberger wird beim olympischen Teambewerb starten. Die Herren-Aufstellung ist noch völlig offen, eine Hirscher-Teilnahme ist ausgeschlossen. Katharina Gallhuber, Stephanie Brunner und Katharina Liensberger heißt das ÖSV-Damen-Trio, das am vorletzten Olympiatag für den Alpinski-Teambewerb in Yongpyong aufgeboten wird. Gallhuber war nach Platz drei im Spezialslalom fix gesetzt worden, Brunner und Liensberger setzten sich in einer internen Ausscheidung gegen Ricarda Haaser durch.Die Aufstellung bei den Herren ist noch völlig offen. Marcel Hirscher hat eine Teilnahme ausgeschlossen," er wird am Samstag zurück nach Österreich fliegen und sich auf die Technikbewerbe in Kranjska Gora in der darauffolgenden Woche vorbereiten. """"Ich würde gerne"," aber es geht nicht"""""," sagte der Salzburger."""
"Russland winkt Aufhebung der Sanktionen;""Die Sanktionen gegen das Team der Olymischen Athleten für Russland (OAR) könnten möglicherweise zur Schlussfeier aufgehoben werden. Darauf bereitet sich die Mannschaft bereits vor. Bei den Olympischen Winterspielen gelten für die Olympischen Athleten für Russland nach dem Doping-Betrug eigene Auflagen. So dürfen die Russen nur unter neutraler Flagge und ohne Hymne an den Start gehen", müssen sich auch an strikte Verhaltensregeln halten. Diese Sanktionen des Internationalen Olympischen Komitees (IOC) könnten zur Schlussfeier aufgehoben werden," bei entsprechendem Benehmen. Für diesen Fall hat das Team bereits vorgesorgt. """"Wir sind auf jede Entwicklung vorbereitet"""""," erzählt Delegationsleiter Stanislaw Posdnjakow.So soll bereits die offizielle russische Mannschaftskleidung für die Abschlussfeier bereitliegen. """"Dazu zählt auch extra Kleidung. Wenn wir sie brauchen"," wird sie rechtzeitig da sein"""""," erklärt Posdnjakow. Auch die magere Medaillenausbeute von drei Silber- und sieben Bronzemedaillen sei für ihn kein großes Problem. """"Bei uns ist es kein Thema", als Mannschaft den ersten Platz zu erkämpfen. Unser Hauptziel ist es," mit Flagge nach Hause zu fahren."""""""
"Verdacht auf Kreuzbandriss bei Brennsteiner;""Wie Manuel Feller und Christian Hirschbühl schied auch Stefan Brennsteiner im im Olympia-Riesentorlauf aus. Er verletzte sich dabei am Knie", ÖSV-Cheftrainer Andreas Puelacher befürchtet sogar einen Kreuzbandriss. Er war auf dem Weg zu seinem besten Ergebnis überhaupt: Stefan Brennsteiner lag im Olympia-Riesentorlauf aur Rang 14 und hatte gute Zwischenzeiten. Der Weg in die Top-Ten schien geebnet, dann rutschte er im Steilhang aus. Doch nicht nur der Ausfall schmerzte, sondern auch Brennsteiners Knie. Nach dem Bewerb ging es sogleich ins Krankenhaus," der ÖSV befürchtete sogar das Schlimmste. """"So wie es ausschaut ist das ein Kreuzbandriss""""", sagte Herren-Chef Andreas Puelacher im Ziel. Das Knie gilt sowieso als Problemstelle bei Brennsteiner," es ist nicht seine erste Verletzung. Eine genaue Untersuchung soll nach der Rückkehr in Innsbruck erfolgen.  Schon im ersten Lauf schieden Manuel Feller und Christian Hirschbühl aus."""
"Feller erlitt im Riesentorlauf ein Schleudertrauma;""Manuel Feller stürzte im ersten Durchgang des Olympia-Riesentorlaufs und klagt über Schmerzen in der Schulter. Ein Antreten im Slalom scheint aber möglich. Manuel Feller war auf dem Weg zu einer Topzeit im ersten Durchgang des Olympia-Riesentorlaufs"," als er kurz vor dem Ziel spektakulär stürzte. """"Mir geht es bescheiden. Es ist genau die Schulter betroffen"," mit der ich eh schon Probleme habe"""""," sagt er. Auch der Nacken schmerze. Bei seinem Sturz im hat ein Schleudertrauma an der Halswirbelsäule erlitten und seine linke Schulter geprellt. Der Tiroler wird am Montag pausieren und intensiv physiotherapeutisch behandelt. Ein Antreten im Slalom am kommenden Donnerstag scheint aber nicht in Gefahr zu sein. """"Derzeit geht es mir aber von Minute zu Minute schlechter. Jetzt werde ich Therapie bekommen. Es ist jetzt nicht so fein", aber ich glaube, übertrieben viel ist nicht passiert. Ich hoffe," dass wir es bis zum Slalomtraining wieder hinkriegen.""""Für Feller war jedoch immer klar"," dass er im Riesentorlauf nur Vollas geben kann. """"Man muss bei diesem Rennen alles riskieren. Das habe ich gemacht. Leider ist es nicht aufgegangen."""" Und auch im Slalom will er voll angreifen. Erneut werde er alles auf eine Karte setzen"," denn """"die angeschossenen Tiere sind die gefährlichsten."""" "


Impressionen des Riesentorlaufs: Olympische Winterspiele 2018






Marcel Hirscher(c) AP (Alessandro Trovati)






Manuel Feller stürzte(c) AP (Christophe Ena)






Marcel Hirscher(c) AP (Alessandro Trovati)












Stefan Brennsteiner(c) APA/AFP/DIMITAR DILKOFF (DIMITAR DILKOFF)






Manuel Feller(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






Manuel Feller(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






Manuel Feller(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






Marcel Hirscher(c) AP (Alessandro Trovati)






Marcel Hirscher(c) APA/AFP/FABRICE COFFRINI (FABRICE COFFRINI)






Marcel Hirscher(c) AP (Alessandro Trovati)






Marcel Hirscher(c) APA/AFP/DIMITAR DILKOFF (DIMITAR DILKOFF)






Marcel Hirscher(c) APA/AFP/DIMITAR DILKOFF (DIMITAR DILKOFF)


