title;text
Bafta-Awards: Promi-Alarm in London






"Bei der Vergabe der britischen Flimpreise """"BAFTAs"""" war die Promi-Dichte hoch. Hugh Grant ist hier mit Produzentin Anna Eberstein zu sehen.(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)"






"Game of Thrones""""-Star Natalie Dormer(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)"






Bryan Cranston und  Kollegin Allison Janney(c) APA/AFP/BEN STANSALL (BEN STANSALL)












Lily James, Rungano Nyoni, Emily Morgan und Gemma Arterton(c) APA/AFP/BEN STANSALL (BEN STANSALL)






Margot Robbie(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)






Jennifer Lawrence(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)






Raoul Peck(c) APA/AFP/BEN STANSALL (BEN STANSALL)






Orlando Bloom und Kollegin Gugu Mbatha-Raw(c) APA/AFP/BEN STANSALL (BEN STANSALL)






Salma Hayek(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)






Willem Defoe und die italienische Filmemacherin Giada Colagrande(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)






Angelina Jolie(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)






Naomi Harris und Partick Stewart(c) APA/AFP/BEN STANSALL (BEN STANSALL)






Amy Jackson(c) APA/AFP/DANIEL LEAL-OLIVAS (DANIEL LEAL-OLIVAS)


