title;text

Anzeige

"Folgen Sie GLASAUGE trotzdem auf Facebook und Twitter – und verpassen Sie künftig keinen Artikel und keine billigen Zusatzscherze!"""
Weniger Klientel," dass schon betrunken auf den Kiez kommt;""Polizisten stehen auf der Hamburger Reeperbahn am Zugang zur Straße Große Freiheit. An Wochenenden gilt derzeit jeweils zwischen 20.00 und 6.00 Uhr ein Alkoholverkaufsverbot"

Anzeige

Mit einem erneuten Verbot des Außer-Haus-Verkaufs von Alkohol in den Hamburger Ausgehvierteln wollen die Hamburger Bezirke Altona, Mitte und Eimsbüttel auch an diesem Wochenende die Einhaltung der Corona-Regeln sicherstellen. Die Einschränkungen für die laut Wetterprognose hochsommerlichen Tage mit Temperaturen von bis zu 33 Grad Celsius beginnen am Freitag wie auch am Samstag und Sonntag jeweils um 20.00 Uhr und gelten bis 6.00 Uhr des Folgetages.

Betroffen sind Kioske, Supermärkte, Tankstellen und der sogenannte Gassenverkauf von Alkohol durch Bars oder Lokale auf St. Pauli, in der Schanze und im Bereich Alma-Wartenberg- und Spritzenplatz in Ottensen. Bereits am vergangenen Wochenende hatten Polizei und Bezirksämter in den betroffenen Gebieten kontrolliert und die Maßnahmen insgesamt als positiv und wirkungsvoll bewertet. Laut Polizei waren im Vergleich zu den vorangegangenen Wochenenden weniger Menschen in den Vergnügungsvierteln unterwegs.

Lesen Sie auch Hamburgs Amüsiermeilen Alkoholverbot? „Man muss sagen, unser Plan hat funktioniert“

Lesen Sie auch Nach Corona-Zwangspause So war für mich die Kreuzfahrt im Kreis - ohne Landgang

„Wir müssen sagen, dass unser Plan funktioniert hat“, sagte Leiter des Bezirksamts Mitte, Falko Droßmann (SPD), nach dem ersten Wochenende mit einem Alkoholverkaufsverbot. Szenen wie an den vorangegangenen Wochenenden, „wo zum Teil Tausende Menschen auf ganz engem Raum komplett enthemmt durch Alkohol gefeiert haben, die hatten wir dieses Wochenende nicht“. Allerdings seien nach einem ruhigen Freitag am Samstag allein auf St. Pauli schon wieder 20.000 Menschen unterwegs gewesen.

Anzeige

Es sei eine Änderung des Publikums festzustellen gewesen. Die Klientel, die bereits betrunken nach St. Pauli kommt, um sich dann weiter mit billigem Alkohol zu versorgen, sei weniger zu sehen gewesen, sagte Droßmann. „Mein Eindruck war, dass diese Erlebnistouristen, die wir an den Wochenenden zuvor erlebt haben und die sich früher ganz selten auf St. Pauli haben blicken lassen, diesmal nicht da waren.“

Lesen Sie auch St. Pauli und Corona Eine verfeierte Dame lebt wieder auf

Lesen Sie auch Kulturerbe-Pläne „Bei aller Vielfalt brauchen wir eine Einigkeit“

St. Pauli habe am vergangenen Wochenende „Spaß gemacht“, sagte er. „Das haben mir auch die Gastronomen bestätigt. Die Menschen konnten feiern, die Menschen konnten Spaß haben, aber ohne sich und andere in Gefahr zu bringen.“ Weil man sich nicht sicher sei, ob dies dauerhaft so bleibe, habe man sich zunächst für eine Fortführung der Einschränkungen entschieden.

Auf wenig Verständnis sei er aber schon am Wochenende bei den Kioskbetreibern gestoßen. „Weil die natürlich sagen: „Ich habe hier einen wirtschaftlichen Schaden. Ich kann keinen billigen Alkohol an Feierwütige verkaufen.“ Es gehe aber um Maßnahmen nach dem Infektionsschutzgesetz, sagte Droßmann. „Alkohol in großen Mengen enthemmt die Menschen. Und deshalb haben wir diesen Schritt unternommen und sind auch weiter überzeugt," dass es der richtige Schritt ist.“"""
"Bayern startet gegen Schalke in die Mission Titelverteidigung;""Anzeige"

Der deutsche Meister FC Bayern München bestreitet sein erstes Spiel der Bundesligasaison 2020/21 gegen den FC Schalke 04. Das geht aus dem am Freitag von der Deutschen Fußball Liga (DFL) veröffentlichten Spielplan hervor. Ob die Partie allerdings auch das Eröffnungsspiel der neuen Saison ist, hängt vom Abschneiden der Bayern in der Champions League ab. Sollten die Münchner das Finale der Königsklasse am 23. August erreichen, würden sie nicht bereits am 18. September mit dem Freitagspiel in die neue Saison starten, sondern am folgenden Montag, hieß es in der DFL-Mitteilung.

In diesem Fall würde die Saison freitags mit der Begegnung zwischen Borussia Dortmund und Borussia Mönchengladbach beginnen. In der 2. Liga werden zum Auftakt der kommenden Spielzeit am 18. September zwei Begegnungen ausgetragen: Der Hamburger SV erwartet Fortuna Düsseldorf, der SSV Jahn Regensburg trifft auf den 1. FC Nürnberg.

Bundesliga

1. Spieltag (18. – 21. September)

Anzeige

FC Bayern – Schalke 04

Borussia Dortmund – Borussia Mönchengladbach

RB Leipzig – Mainz 05

Anzeige

VfL Wolfsburg – Bayer Leverkusen

Eintracht Frankfurt – Arminia Bielefeld

Union Berlin – FC Augsburg

Anzeige

1. FC Köln - 1899 Hoffenheim

Werder Bremen – Hertha BSC

VfB Stuttgart – SC Freiburg

2. Spieltag (25. – 28. September)

Borussia Mönchengladbach – Union Berlin

Bayer Leverkusen – RB Leipzig

1899 Hoffenheim – FC Bayern

Anzeige

SC Freiburg – VfL Wolfsburg

Hertha BSC – Eintracht Frankfurt

Schalke 04 – Werder Bremen

Mainz 05 – VfB Stuttgart

FC Augsburg – Borussia Dortmund

Arminia Bielefeld – 1. FC Köln

3. Spieltag (2. - 4. Oktober)

Bayern München – Hertha BSC

Anzeige

Borussia Dortmund – SC Freiburg

RB Leipzig – FC Schalke 04

VfL Wolfsburg – FC Augsburg

Eintracht Frankfurt – 1899 Hoffenheim

1. FC Union Berlin – FSV Mainz 05
