title;text
1961                1961
1962                1962
1963                1963
1964                1964
1965                1965
1966                1966
1967                1967
1968                1968
1969                1969
1970                1970
1971                1971
1972                1972
1973                1973
1974                1974
1975                1975
1976                1976
1977                1977
1978                1978
1979                1979
1980                1980
1981                1981
1982                1982
1983                1983
1984                1984
1985                1985
1986                1986
1987                1987
1988                1988
1989                1989
1990                1990
1991                1991
1992                1992
1993                1993
1994                1994
1995                1995
1996                1996
1997                1997
1998                1998
1999                1999
2000                2000
2001                2001
2002                2002
2003                2003
2004                2004
2005                2005
2006                2006
2007                2007
2008                2008
2009                2009
2010                2010
2011                2011
2012                2012
2013                2013
2014                2014
2015                2015
" dan"""
"""Toll! Ein Stein!"": Kleiner Timmy (9) freut sich über Geschenk vom Nikolaus;""Das ist ja eine tolle Überraschung! Als der kleine Timmy (9) heute Morgen vor der Schule seinen linken Stiefel anziehen wollte", fand er darin ein kleines Steinchen. Seitdem ist der Junge ganz aus dem Häuschen und freut sich darüber, dass der Nikolaus endlich auch einmal an ihn gedacht hat.

"Das ist so lieb vom Nikolaus!"""""," schwärmt Timmy und schaut sich den Stein an. """"Der Stein hat sogar Kanten und ist grau – meine siebtliebste Lieblingsfarbe!"""" Er steckt den Stein liebevoll in ein Fach seines Schulranzens", um ihn später seinen Mitschülern zu zeigen.
Auch auf dem Schulweg kommt der Neunjährige nicht aus dem Schwärmen heraus," zieht den Stein immer wieder hervor und betrachtet ihn: """"Der ist viel besser als die zwei Fussel", die der Nikolaus im letzten Jahr in meine Stiefel gesteckt hat," wobei die schon auch super waren."""" Timmy findet", es hat sich gelohnt," das ganze Jahr artig gewesen zu sein. """"Der Nikolaus hat auch gemacht"," dass mein linker Stiefel nicht mehr so drückt."""""
"Die anderen Kinder in seiner Klasse bemitleidet Timmy: """"Die kriegen zwar meistens Süßigkeiten", Nüsse oder Spielzeug, aber da hab ich den Verdacht, dass das nicht wirklich vom Nikolaus kommt," sondern von ihren Eltern reingesteckt wird."""" Foto: Fotolia/Shutterstock; Erstveröffentlichung: 6.12.16"""
"Regensburger Domspatzen von Katze gefressen;""Sie hatten keine Chance: Mehr als 40 Mitglieder der Regensburger Domspatzen sind heute während einer Probe von einer herumstreunenden Katze getötet worden. Ob und in welcher Form der weltberühmte Knabenchor nach dieser Tragödie weiterbestehen wird", ist unklar.

Dem Polizeibericht zufolge probten die Domspatzen für eine Aufführung im Regensburger Dom, als plötzlich eine grau-schwarz getigerte Katze unbekannten Geschlechts durch eine offenstehende Seitentür in das Gebäude huschte.
Offenbar pirschte sich das Tier während 'Süßer die Glocken nie klingen' langsam an seine Opfer heran und sprang dann bei 'Es ist ein Ros entsprungen' unvermittelt aus der Deckung, um einen Domspatz nach dem anderen zu fangen und zu fressen.
"Es war schrecklich""""", erinnert sich ein Augenzeuge (48), der eigentlich gekommen war," um dem Chor zu lauschen. """"Einige der Domspatzen versuchten noch wegzufliegen", schafften es jedoch trotz großer Anstrengung nicht abzuheben. Mit dem einen oder anderen spielte die Katze noch ein bisschen," bevor sie ihn verschlang."""" "


Kennen Sie diese Katze? Mit diesem Phantombild fahndet die Polizei.

"Er selbst habe leider nicht eingreifen können: """"Ich wurde als Kind mal von einer Katze angefaucht. Seitdem halte ich mich fern von den Viechern."""" Zu allem Überfluss nahm das Tier nach dem Massaker mehrere der Domspatzen mit und legte sie auf einer Fußmatte vor der Haustüre einer 73-jährigen Frau in der Regensburger Innenstadt ab. Bislang bestreitet die Dame", die Besitzerin der Katze zu sein. Sie wird derzeit noch vernommen. 
Die mutmaßliche Massenmörderin ist mit mehreren Krallen bewaffnet und befindet sich noch immer auf freier Pfote. Die Polizei fahndet mit Hochdruck und hat mehrere Spürhunde im Einsatz.
Die heutige Tragödie ist nicht der einzige Katzenangriff in der mehr als 1000-jährigen Geschichte der Regensburger Domspatzen. Zuletzt wurde der Chor im Jahr 1695 bei einem Konzert zu Ehren des römisch-deutschen Kaisers Leopold I. von dessen rotem Kater Saladin fast vollständig ausgelöscht. Ein weiterer Schicksalsschlag, bei dem Katzen jedoch keine Rolle spielten, war das große Spatzensterben von 1808. Damals hatten Unbekannte vergiftete Meisenknödel am Hauptportal des Regensburger Doms angebracht. Foto oben [M]: Michael Vogl, CC BY-SA 3.0," Shutterstock; Erstveröffentlichung: 1.12.16"""
"Schockierende Fotobeweise: Chemtrails verursachen Waldbrände!;""Klimakontrolle", Bevölkerungsreduktion, Himmelsverschandelung – Chemtrails werden von der Regierung zu unterschiedlichen Zwecken eingesetzt. Nun deutet neues Bildmaterial darauf hin, dass die umstrittenen Chemikalien offenbar auch ausgebracht werden, um Waldbrände zu entfachen. 

Das Foto oben wurde unserer Redaktion von einer anonymen Quelle zugespielt. Es zeigt ein Flugzeug, das eine klar erkennbare Chemikalienspur hinter sich herzieht. Dort, wo die Chemikalien niedergehen, sind deutlich Flammen und Rauch zu erkennen. 
"Wer hier von """"Kondensstreifen"""" spricht", muss nun auch erklären," seit wann """"Kondenswasser"""" brennt."
Ein weiteres schockierendes Beweisfoto, das alle, die Chemtrail-Aktivisten als Verschwörungstheoretiker bezeichnen, endgültig zum Schweigen bringen dürfte:


Warum die Regierung nun offenbar auch Wälder anzündet, ist unklar. Womöglich dient es dem perfiden Ziel, Chemtrails noch effizienter werden zu lassen, wenn die ausgebrachten Giftstoffe nicht mehr von lästigen Bäumen aus der Luft gefiltert werden. 
Auch ist nicht auszuschließen, dass Wälder lediglich als Testobjekte fungieren. Langfristig könnte geplant sein, Bürger direkt aus der Luft anzuzünden, um so die Weltbevölkerung zu dezimieren. Welchen Zweck die Drahtzieher des Chemtrail-Programms auch immer verfolgen, dass sie bereits jetzt schweren Schaden anrichten, kann in Anbetracht der Beweislage wohl niemand mehr leugnen:


Sollten Sie also künftig Chemtrails am Himmel erkennen, halten Sie sich an folgende Tipps: 
- Laufen Sie um Ihr Leben!
"- Schreien Sie dabei optional so laut wie möglich """"Feuer! Vom Himmel! In Deckung!"""" oder Ähnliches", um Ihre weniger aufgeklärten Mitmenschen zu warnen! 
- Suchen Sie Zuflucht in einem geschlossenen Raum!
Idee: mbe; Foto oben und unten: Shutterstock, Foto Mitte: יחידה אווירית משטרת ישראל," CC BY-SA 3.0; Erstveröffentlichung: 29.11.16"""
"Peinlich: Terrorist vergisst Koffer mit Sprengstoff am Bahnhof;""Es sollte sein erster Auftrag für eine ausländische Organisation sein – und er wäre beinahe in die Hose gegangen: IS-Terrorist Samir K. (21) hat seinen Sprengstoffkoffer im Kölner Hauptbahnhof vergessen. Nur der Aufmerksamkeit eines Bundespolizisten ist es zu verdanken", dass der schusselige Fanatiker das Gepäckstück letztlich wiederbekam. 

"Uff! Das ist ja gerade nochmal gutgegangen"""""," stöhnt Samir K. erleichtert und legt eine Hand auf den so wichtigen Koffer. """"Hoffentlich erfährt nie einer meiner Mitjihadisten davon"," sonst werde ich zum Gespött meiner ganzen Schläferzelle."""""
Der Vorfall ereignete sich bereits gestern Abend: Der 21-jährige Islamist kam gerade mit dem Zug aus Berlin, als er im Ausstiegstrubel versehentlich seinen prall mit Sprengstoff gefüllten Koffer mitten auf dem Bahnsteig stehen ließ und sich in Richtung Ausgang begab. 


Kurzzeitig herrenlos: Gepäckstück

Ein Bundespolizist sah das Missgeschick glücklicherweise via Überwachungskamera auf seinem Monitor und schritt kurzentschlossen ein. Er lief zum Gleis, schnappte sich den Koffer und brachte ihn dem verdutzten Terroristen zurück. 
Der Mann - ich schätze, er ist Elektriker," weil aus seinem Koffer Kabel hingen - war ganz überschwänglich und bedankte sich mehrmals bei mir"""""," berichtet der Polizeibeamte Martin Ferber. """"Ich selbst würde auch erstmal schlucken"," wenn plötzlich der Koffer mit allen meinen Arbeitsmaterialien weg wäre."""" "
"Dank dem beherzten Einschreiten des Bundespolizisten kann die bereits weit fortgeschrittene Anschlagsplanung von Samir K. und seinen Kollegen jetzt weitergehen: """"Wir müssen den Sprengstoff nur noch in ein unverdächtiges Behältnis füllen", einen geeigneten Ort mit vielen Menschen finden," wo dieses nicht weiter auffällt und dann kann es auch schon losgehen."""" Foto oben: Shutterstock/EduardHert", CC BY-SA 3.0," Foto unten: Shutterstock"""
