title;text
Macron gegen Bruch der EU mit der Türkei;Der französische Präsident Emmanuel Macron hat die Europäische Union vor einem Bruch mit ihrem Beitrittskandidaten Türkei gewarnt.  Die Türkei sei ein zentraler Partner der EU in vielen Krisen, sagte Macron am Donnerstag der griechischen Zeitung “Kathimerini”. Als Beispiele nannte er die Flüchtlingsfrage und die Bedrohung durch Terrorismus. Auch Finnland und Estland plädierten für Dialog und warnten vor schnellen Entscheidungen. In der Bundesregierung neigt sich die Geduld mit Präsident Recep Tayyip Erdogan dagegen dem Ende entgegen. Kanzleramtsminister Peter Altmaier unterstrich, auch Deutschland habe eine Ehre. Macron sagte, zwar habe sich die Türkei in den vergangenen Monaten von der EU wegbewegt und sei zu weit gegangen: “Aber ich möchte einen Bruch verhindern.” Damit machte er deutlich, dass er in der Türkei-Politik nur bedingt mit Deutschland mitzieht. Als Reaktion auf die Festnahmen deutscher Staatsbürger in der Türkei und wiederholter Verbalangriffe aus Ankara hatte Bundeskanzlerin Angela Merkel am Sonntag angekündigt, der EU-Kommission kein Mandat für Verhandlungen über die Ausweitung der Zollunion mit der Türkei zu geben und sich außerdem für ein Ende der Beitrittsverhandlungen einzusetzen.[nL8N1LK0PP] Beides müsste einstimmig in der EU beschlossen werden. Für ein Aussetzen der Beitrittsgespräche würde eine Mehrheit reichen.  Finnlands Außenminister Timo Soini sagte, er sei dagegen, die Beitrittsgespräche zu beenden: “Es ist immer nützlich, im Dialog zu sein.” Sein estnischer Kollege Sven Mikser sagte, er erwarte nicht, dass die EU noch dieses Jahr eine Entscheidung fälle. Bundesaußenminister Sigmar Gabriel wiederholte dagegen die deutsche Forderung, die Gespräche mit der Türkei zu stoppen.     Altmaier (CDU) warnte am Mittwochabend im ZDF: “Wenn immer Nazi-Vorwürfe erhoben werden gegen Deutschland, dann sage ich klipp und klar: Auch Deutschland hat eine Ehre, und wir werden uns gegen diese Vorwürfe zur Wehr setzen.” Erdogan hatte zuvor Deutschland und die EU des Faschismus bezichtigt. Altmaier sagte angesichts von in der Türkei inhaftierten Deutschen wie dem Journalisten Deniz Yücel und dem Menschenrechtler Peter Steudtner: “Das lassen wir uns auch nicht bieten.” Grünen-Spitzenkandidat Cem Özdemir warf der Bundesregierung falsches Spiel vor. “Das, was Erdogan wirklich treffen würde, das macht die große Koalition nicht, weil sie sich nicht traut”, sagte er. Erdogan “wehtun” würden etwa ein Aussetzen der Hermes-Bürgschaften, ein Stopp der Waffenlieferungen und eine “echte Reisewarnung”, die Urlauber zur Stornierung ihrer Türkei-Reisen berechtigen würde.
HINTERGRUND-Misstöne bei Grünen durch Berliner Kandidatin;Im Wahlkampf haben die Grünen eine Lehre verinnerlicht: Bloß keinen öffentlichen Streit vor der Bundestagswahl am 24. September.  In unguter Erinnerung sind noch die heftigen Auseinandersetzungen zwischen Realos und linkem Parteiflügel bei der Bundestagwahl 2013, die mit für das damalige magere Ergebnis verantwortlich gemacht werden. Bislang hat der Burgfrieden gut gehalten, obwohl mit Cem Özdemir und Katrin Göring-Eckardt zwei Grüne Spitzenkandidaten wurden, die zu den Realos zählen und eigentlich die Balance zwischen beiden Flügeln stören. Doch nun sorgt ein Streit über die Kreuzberger Bundestagskandidatin Canan Bayram für deutliche Dissonanzen in der von der Parteispitze verordneten Harmonie. Die “tageszeitung” berichtete am Mittwoch, der Vertreter der baden-württembergischen Landesvertretung in Berlin, Volker Ratzmann, habe Bayram in einem internen Diskussionsforum als “nicht wählbar” bezeichnet. Ratzmann ist Statthalter des Oberrealos, Ministerpräsident Winfried Kretschmann. Ratzmann war zunächst für eine Stellungnahme nicht erreichbar. Gegenüber der taz lehnte er einen Kommentar ab. BUNDESVORSTAND KRITISIERT PLAKATE VON BAYRAM Bayram bewirbt sich im Berliner Wahlkreis Friedrichshain-Kreuzberg und tritt damit das Erbe von Christian Ströbele an, ein Urgrüner und Aushängeschild des linken Flügels. Mit ihrer Kampagne ist sie bereits beim Bundesvorstand angeeckt. Denn sie wirbt auf Plakaten mit dem Slogan “Die Häuser denen, die drin wohnen.” Damit spricht sie vielen Berlinern aus dem Herzen, die unter der wachsenden Immobilienspekulation und hohen Mieten leiden. Nicht aber der Parteispitze: “Der Spruch auf dem Plakat ist missverständlich”, twitterte diese daraufhin. Das Plakat sei kein Teil der Bundestagskampagne und nur lokal zu sehen. Kritiker werfen Bayram vor, mit dem Spruch Hausbesetzungen zu rechtfertigen.  “Ich habe gegen diese Parole nichts und verstehe nicht, warum man sich darüber aufregen will”, sagte Ströbele Reuters. “Ich habe ja viele Hausbesetzer vertreten und unterstützt. Ich meine, dass die Hausbesetzer für Kreuzberg und die Bevölkerung dort viel Gutes getan haben, indem sie dafür gesorgt haben, dass ganze Straßenzüge erhalten geblieben sind, die heute gesuchte Wohnquartiere sind.” Er betonte, Bayram habe seine volle Unterstützung. Die Gegner der Grünen sehen in dieser Haltung eine gute Vorlage. Der CSU-Spitzenkandidat für die Bundestagswahl, Bayerns Innenminister Joachim Herrmann, hielt den Grünen beim TV-Duell der Spitzenkandidaten der kleinen Parteien vergangenen Montag vor, die Grünen rechtfertigten den Bruch von Gesetzen, weil sie Hausbesetzungen tolerierten.  BUNDESTAGSMANDAT VON KÜNAST BEI ERFOLG VON BAYRAM IN GEFAHR Sowohl in der Parteilinken als auch bei den Realos fand sich zunächst niemand, der den Streit um Bayram öffentlich kommentieren wollte. Es hieß übereinstimmend, kurz vor dem Wahltermin wolle man keinen öffentlichen Streit vom Zaun brechen. Eine Kostprobe für die Spannungen zwischen beiden Parteiflügeln hatte Bayram selbst gegeben, als sie in ihrem Grußwort beim Bundesparteitag der Grünen im Juni dem Realo und Tübinger Bürgermeister Boris Palmer empfahl, “einfach mal die Fresse zu halten”.  Der Wahlkreis Friedrichshain-Kreuzberg ist für die Grünen von besonderer Bedeutung, da es Ströbele als einzigem Grünen überhaupt gelang, vier Mal hintereinander ein Direktmandat bei einer Bundestagswahl zu holen. Auch die erklärte Parteilinke Bayram will über ein Direktmandat in den Bundestag einziehen. Sollte ihr das gelingen, ist unsicher, ob die auf Platz drei der Bundestagswahlliste der Berliner Grünen platzierte ehemalige Bundeslandwirtschaftsministerin und Reala Renate Künast wieder in den Bundestag kommt.
CDU verliert in Niedersachsen an Boden - Spitzenkandidat stürzt ab;Gut fünf Wochen vor der Landtagswahl in Niedersachsen verliert die CDU einer neuen Umfrage zufolge an Boden.  Würde der Spitzenkandidat direkt zum Ministerpräsidenten gewählt, käme Amtsinhaber Stephan Weil von der SPD auf 47 Prozent, ein Plus von zwei Punkten, wie aus der am Donnerstag veröffentlichten Umfrage von Infratest dimap im Auftrag des Norddeutschen Rundfunks hervorgeht. Sein CDU-Kontrahent Bernd Althusmann stürzt demnach um zehn Punkte auf 24 Prozent ab. Bei der Sonntagsfrage gibt die CDU drei Punkte ab und kommt auf 37 Prozent, die SPD bleibt bei 32 Prozent. Auf die Frage, wer die neue Landesregierung führen soll, bevorzugen 47 Prozent die SPD (plus fünf), für die CDU entscheiden sich unverändert 41 Prozent. Die Grünen sind in der Umfrage mit zehn Prozent drittstärkste Kraft (plus eins), gefolgt von der AfD mit sieben Prozent (plus eins). Dahinter rangiert die FDP mit sechs Prozent (minus eins) und die Linkspartei mit fünf Prozent (plus zwei), die damit in den Landtag in Hannover einziehen würde.  Für die CDU wäre neben der Großen Koalition nur ein Jamaika-Bündnis mit FDP und Grünen möglich. Mit 47 Prozent wünschen sich allerdings die meisten Befragten eine Fortsetzung der rot-grünen Regierung (minus sieben). Ein schwarz-gelbes Bündnis wollen 40 Prozent (plus vier). Deutlich mehr Anhänger hätte eine rot-rot-grüne Koalition mit 25 Prozent, ein Plus von neun Punkten. Die vorgezogene Landtagswahl ist am 15. Oktober, Sie wurde erforderlich, weil eine Abgeordnete von den Grünen zur CDU wechselte, wodurch die rot-grüne Regierung ihre Mehrheit verlor.
EZB tastet geldpolitischen Ausblick nicht an;Die Europäische Zentralbank hat ihren geldpolitischen Ausblick beibehalten.  Die EZB hielt dabei nach Angaben vom Donnerstag an der Option fest, im Notfall ihr billionenschweres Anleihen-Kaufprogramm hinsichtlich Umfang und/oder Dauer auszuweiten. Die Euro-Wächter erwerben seit März 2015 Staatsanleihen und andere Wertpapiere - aktuell monatlich für 60 Milliarden Euro.  EZB-Präsident Mario Draghi hat eine Diskussion über die Zukunft der inzwischen auf 2,28 Billionen Euro angelegten Anleihenkäufe für Herbst angekündigt. Das Programm läuft Ende Dezember aus. Somit bleibt nicht viel Zeit, die Anleger an den Börsen darauf vorzubereiten, wie es mit den Transaktionen danach weitergehen soll. Die EZB bestätigte zudem, dass ihre Schlüsselzinsen weit über die Zeit der Anleihenkäufe hinaus auf dem derzeitigen Niveau liegen werden. Die Möglichkeit noch tieferer Zinsen hatte die Notenbank bereits im Juni aus ihrem Ausblick gestrichen. Der Leitsatz zur Versorgung der Geschäftsbanken mit Geld liegt seit März 2016 auf dem Rekordtief von 0,0 Prozent. Der sogenannte Einlagensatz steht sogar bei minus 0,4 Prozent. Banken müssen also Strafzinsen zahlen, wenn sie über Nacht Geld bei der Notenbank parken.
Südkorea schließt Krieg mit Nordkorea aus;Südkorea und Russland erwarten nach Angaben ihrer Präsidenten im Atomkonflikt mit Nordkorea eine politische Lösung.  Südkoreas Präsident Moon Jae In schloss am Donnerstag einen Krieg auf der koreanischen Halbinsel aus. Dazu werde es nicht kommen, sagte er auf einem Wirtschaftstreffen im russischen Wladiwostok. Der russische Präsident Wladimir Putin betonte, dass der Konflikt um das Atomprogramm politisch gelöst werden könne und er sicher sei, dass es keinen Großkonflikt geben werde, bei dem Massenvernichtungswaffen eingesetzt würden. “Alle Kontrahenten haben genug gesunden Menschenverstand und kennen ihre Verantwortung. Wir können dieses Problem mit diplomatischen Mitteln lösen.” Nordkorea drohte seinerseits, es werde auf Sanktionen und Druck seitens der USA mit “wirksamen Gegenmaßnahmen” reagieren. Am Aktienmarkt wurden die Entspannungssignale positiv aufgenommen. Der bisher stärkste Atomtest Nordkoreas am Sonntag hatte Ängste vor einer militärischen Auseinandersetzung mit dem international isolierten Land geschürt. Am Montag soll der UN-Sicherheitsrat über einen Resolutionsentwurf der USA für neue Sanktionen gegen den kommunistischen Staat abstimmen. Nordkorea kündigte bereits an, sich diesen nicht beugen zu wollen und drohte: “Wir werden auf die barbarische Verschwörung aus Sanktionen und Druck durch die USA mit wirksamen Gegenmaßnahmen antworten.” Die bisherigen Strafmaßnahmen haben Nordkorea nicht davon abgehalten, seine Raketen- und Atomprogramme voranzutreiben. Es wird befürchtet, dass die Regierung in Pjöngjang bereits in der Lage ist, US-Territorium mit Raketen zu beschießen. Am Sonntag testete Nordkorea nach eigenen Angaben eine Wasserstoffbombe. Es ist unklar, ob alle ständigen Mitglieder des Sicherheitsrats - China, Russland, Großbritannien, Frankreich und die USA - dem Resolutionsentwurf der USA zustimmen. Chinas Außenminister Wang Yi sagte in Wladiwostok, Sanktionen seien nur Teil der Lösung und müssten zusammen mit Dialog und Verhandlungen eingesetzt werden. US-Präsident Donald Trump hat die Volksrepublik wiederholt dazu aufgefordert, mehr zu tun, um den Nachbarn zur Räson zu rufen. China ist mit Abstand der wichtigste Handelspartner Nordkoreas. Putin sprach sich in Wladiwostok entschieden gegen Sanktionen aus.  ÖL-EMBARGO GEGEN NORDKOREA Die USA streben ein Öl-Embargo gegen Nordkorea an. Zudem wird dem Resolutionsentwurf zufolge ein Embargo für den Handel mit Textil-Exporten des Landes gefordert sowie ein Reiseverbot für Machthaber Kim Jong Un und ein Verbot des Einsatzes nordkoreanischer Arbeitskräfte im Ausland.  Über Nordkorea berieten auch die Außen- und Verteidigungsminister der Europäischen Union in Tallinn. “Ich werde den Ministern vorschlagen, unseren wirtschaftlichen Druck auf Nordkorea zu verstärken”, kündigte die EU-Außenbeauftragte Federica Mogherini an. Bundesaußenminister Sigmar Gabriel plädiert in Tallinn dafür, Europas Häfen für Schiffe aus Nordkorea zu sperren. Europa dürfe es nicht mehr zulassen, dass koreanische Schiffe oder Schiffe in Eigentümerschaft Koreas EU-Häfen anliefen. Alles Geld, das Nordkorea damit erwirtschafte, fließe letztlich in den Militäretat. Daher müssten die Sanktionen verschärft werden.  “SCHMUTZIGE POLITIK” Bisher ist es der Weltgemeinschaft nicht gelungen, eine gemeinsame Haltung zu Nordkorea einzunehmen. Während Staaten wie Japan, Südkorea aber auch Deutschland und die EU für weitere Sanktionen gegen das kommunistische Land plädieren, halten Russland und China eine Verschärfung der Strafmaßnahmen für kontraproduktiv. “Es ist unmöglich, sie einzuschüchtern”, sagte Putin in Wladiwostok. Die Regierung in Pjöngjang werde ihr Atomprogramm nicht beenden, da es dies als Mittel zur Selbstverteidigung betrachte. Nordkorea kritisierte den Nachbarn Südkorea wie auch Japan, den fernöstlichen Wirtschaftsgipfel zu missbrauchen, um “schmutzige Politik” zu betreiben. Das Treffen sei angesetzt, um über die wirtschaftliche Zusammenarbeit in der Region zu diskutieren und nicht als Forum für Kritik am Raketenprogramm Nordkoreas.     Zum Schutz vor nordkoreanischen Raketenangriffen stationierte Südkorea am Donnerstag das Thaad-Raketenabwehrsystem. Bei Protesten gegen die Stationierung von vier Abschussrampen auf einem ehemaligen Golfplatz im Süden des Landes kam es zu Zusammenstößen zwischen rund 300 Demonstranten und 8000 Polizisten. Dabei wurden über 30 Menschen verletzt. Die Stationierung stößt auch bei China und Russland auf Ablehnung. China befürchtet, dass das Thaad-Radar bis tief in sein Territorium hinein reicht und sieht darin eine Störung der Sicherheit in der Region.
AfD-Spitzenkandidatin Weidel sagt ZDF-Auftritt laut Sender ab;AfD-Spitzenkandidatin Alice Weidel hat ihren geplanten Auftritt bei einer ZDF-Wahl-Talkshow nach Angaben des Senders kurzfristig abgesagt.  Weidel habe am Donnerstagvormittag “ohne Angabe von Gründen” mitgeteilt, dass sie bei der für den Abend geplanten Sendung “illner intensiv” nicht erscheinen werde, teilte das ZDF auf seiner Internet-Seite mit. Noch am Mittwoch habe sie ihre Teilnahme über ihren Pressesprecher bestätigt. Weidel selbst war für eine Stellungnahme zunächst nicht erreichbar.  Die AfD-Politikerin hatte am Dienstagabend die ZDF-Live-Sendung “Wie geht‘s, Deutschland?” abrupt verlassen. Sie begründete den Eklat damit, dass Moderatorin Marietta Slomka parteiisch gewesen sei. “Sie hat sich mit der frechen Intoleranz und der plumpen Argumentation von SPD und Grünen gemein gemacht”, schrieb Weidel  über Slomka. ZDF-Chefredakteur Peter Frey wies diese Darstellung zurück. Für die Sendung “illner intensiv” mit der Moderatorin Maybrit Illner am Donnerstagabend habe das ZDF nach Weidels Absage deren Co-Spitzenkandidaten Alexander Gauland eingeladen, “um der Partei die Gelegenheit zu geben, (...) ihre Position zu vertreten”. Der AfD-Politiker habe das Angebot aber “mit dem Verweis auf Termingründe nicht angenommen”.  
Deutschland Wachstumslok für Euro-Zone -Sorge vor Überhitzung;Angetrieben von den Schrittmachern Deutschland und Spanien hat die Euro-Zone ihr Wachstumstempo im Frühjahr gesteigert.  Das Bruttoinlandsprodukt (BIP) legte im zweiten Quartal um 0,6 Prozent zu, wie die Statistikbehörde Eurostat am Donnerstag mitteilte. Zu Jahresbeginn war das Plus in den 19 Staaten der Währungsunion noch einen Tick niedriger ausgefallen. Die Daten belegen, dass die Konjunktur nach längerer Durststrecke wieder rundläuft. Experten sagen für 2017 bereits das stärkste Wachstum seit zehn Jahren voraus.[nL8N1LM2NO] Spanien hatte im Frühjahr im Kreis der größten Wirtschaftsnationen des Euroraums mit einem Zuwachs beim BIP von 0,9 Prozent die Nase vorn, gefolgt von Deutschland mit plus 0,6 Prozent. Forscher sind uneins, ob der hiesigen Wirtschaft eine Überhitzung droht oder nicht. “Eine Hochkonjunktur fühlt sich gut an, sie ist aber gesamtwirtschaftlich schädlich”, schreibt das Kieler Institut für Weltwirtschaft IfW. Es erhöhte seine Wachstumsprognose für 2017 auf 2,0 Prozent und für nächstes Jahr auf 2,2 Prozent. Für 2019 erwarten die Forscher einen Anstieg des BIP um 2,1 Prozent. “Die deutsche Wirtschaft steigert ihre Leistung schneller, als ihr guttut.” Dies lasse eine “schmerzhafte spätere Korrektur wahrscheinlicher” werden. Das von dem früheren EZB-Ökonomen Marcel Fratzscher geleitete Berliner Institut DIW erwartet dieses und nächstes Jahr allerdings nur ein Wachstum von 1,9 Prozent, das sich 2019 auf 1,6 Prozent abkühlen werde: “Eine Überhitzung droht nicht: Dafür spricht neben den nur verhalten steigenden Löhnen und Preisen auch, dass die Unternehmen trotz der guten Auslastung nach wie vor nur äußerst zögerlich in neue Maschinen und Ausrüstungen investieren.” “AUFSCHWUNG NUR GELIEHEN” Laut Fratzscher steht die deutsche Wirtschaft nur scheinbar gut da, obwohl sie in diesem Jahr deutlich wächst: “Der Aufschwung wird nicht von Dauer sein, denn er ist zu einem guten Teil geliehen. Die niedrigen Zinsen und die sehr gute Arbeitsmarktsituation werden nicht von Dauer sein.” Experten erwarteten für die am heutigen Donnerstag anstehende EZB-Zinssitzung jedoch noch keine Abkehr von der Nullzinspolitik. Zudem dürfte noch keine Entscheidung über die Zukunft der Wertpapierkäufe fallen, mit denen die EZB die Wirtschaft ankurbeln und für eine höhere Inflation sorgen will.[L8N1LO0X4] Laut EZB-Chef Mario Draghi soll im Herbst über das Programm beraten werden. Es ist zurzeit das schärfste Schwert der Europäischen Zentralbank (EZB) im Kampf gegen die aus ihrer Sicht zu niedrige Inflation. Laut einer Reuters-Umfrage gehen die meisten Ökonomen derzeit davon aus, dass die EZB die Transaktionen bis Ende 2018 komplett herunterfährt.[nL8N1LJ08N] Die wirtschaftlichen Rahmenbedingungen seien so günstig wie seit langem nicht mehr, meint Jörg Zeuner, Chefvolkswirt der KfW Bankengruppe: “Der Euroraum befindet sich in einem robusten Aufschwung, die konjunkturelle Belebung erstreckt sich auf sämtliche Länder des Währungsraums. Wir kehren langsam zur Normalität zurück.” Allerdings konnten die Euro-Zonen-Schwergewichte Frankreich und Italien mit dem Wachstumstempo Deutschlands zuletzt nicht ganz Schritt halten: Die Wirtschaftsleistung legte dort nur um 0,5 Prozent beziehungsweise 0,4 Prozent zu. Zeuner rechnet damit, dass das BIP im Währungsraum dieses Jahr um 2,2 Prozent zulegen wird: “Damit wäre 2017 in der Euro-Zone das wirtschaftlich erfolgreichste der zurückliegenden zehn Jahre.” Laut Ökonom Oliver Holtemöller vom Forschungsinstitut IWH in Halle sorgt auch die wieder besser in Schwung gekommene globale Konjunktur für Rückenwind: “Die Produktion stieg im zweiten Quartal in den USA, China und Japan deutlich schneller als zu Jahresanfang.” Weil Preise und Löhne trotz der kräftigen Nachfrage nach wie vor nur moderat zulegten, dürfte die zumeist lockere Geldpolitik die Konjunktur in den Industriestaaten auch im Jahr 2018 weiter anschieben, so der Experte.
"""Irma"" verwüstet Karibik - Florida geht in Deckung;Der Rekord-Hurrikan “Irma” hat in der Karibik mindestens zehn Menschen getötet und nimmt nun das dicht besiedelte Florida ins Visier.  Mit Windgeschwindigkeiten von bis zu 300 Stundenkilometern zerstörte der stärkste je gemessene Atlantik-Sturm am Mittwoch fast alle Gebäude auf mehreren Inseln. “Wir sind nach Barbuda geflogen und haben völlige Verwüstung gesehen”", sagte der Ministerpräsident von Barbuda und Antigua, Gaston Browne, der BBC. Neun von zehn Häusern seien beschädigt oder zerstört, die Hälfte der 1800 Bewohner obdachlos. Fernsehbilder von Saint Martin zeigten im Hafen aufgetürmte Jachten und überflutete Straßen und Wohnungen. Allein dort starben mindestens acht Menschen, es wurden aber weit mehr Opfer befürchtet. “Irma” zieht nun weiter in Richtung Kuba und wird am Wochenende in Florida erwartet.   Den USA droht damit innerhalb von zwei Wochen nach “Harvey” der zweite verheerende Hurrikan. “Harvey” hat 60 Menschen das Leben gekostet und Schäden von bis zu 180 Milliarden Dollar angerichtet. Die US-Behörden riefen wegen “Irma” nun erneut den Notstand aus und begannen mit der Evakuierung der Südspitze von Florida. Sie forderten alle Touristen auf, die Urlaubsregion Florida Keys zu verlassen. Insgesamt könnten zunächst bis zu 100.000 Menschen ihre Häuser räumen müssen. Airlines sagten Flüge in der Region ab. Auch das Feriendomizil “Mar-a-Lago” von Präsident Donald Trump könnte von “Irma” heimgesucht werden. Trump hatte den Budget-Streit mit dem Kongress am Mittwoch vorerst beigelegt, um eine Ausgabensperre zu vermeiden. Diese hätte die US-Behörden im Kampf gegen Sturmschäden gelähmt. In Erwartung einer Störung der US-Ölproduktion durch “Irma” decken sich Anleger mit dem Rohstoff ein. Dies verteuert die Sorte Brent um 0,8 Prozent auf 54,64 Dollar je Fass.  HÄLFTE DER PUERTO RICANER OHNE STROM ”Irma“ ist dem Nationalen Hurrikan-Zentrum (NHC) der USA zufolge der stärkste Hurrikan, der jemals außerhalb der Karibik und des Golfs von Mexiko verzeichnet wurde. Am Mittwochabend hatte das Sturmzentrum Puerto Rico im Norden gestreift und offenbar zu einem Stromausfall bei der Hälfte der rund eine Million Einwohner geführt. Auch Haiti, die Dominikanische Republik und die Bahamas könnte ”Irma“ heimsuchen. ”Der Wind, den wir hier erleben, ist stärker als jeder, den wir bisher hier erlebt haben“, sagte Gouverneur Ricardo Rossello dem Sender CNN. ”Wir erwarten große Schäden. Diese würden aber nicht vergleichbar sein, mit denen auf Antigua oder Barbuda. Die Insel sollte evakuiert werden, wenn der nachrückende Hurrikan “Jose” ebenfalls Kurs auf Barbuda nehme, sagte Ministerpräsident Browne. Die Insel sei schon jetzt kaum mehr bewohnbar. Die niederländische Marine erklärte, “Irma” habe im niederländischen Teil von Sint Maarten (Saint Martin) enorme Schäden angerichtet. Marine-Hubschrauber übermittelten Bilder von zerstörten Häusern, Hotels und Schiffen. Der Flughafen der Insel sei nicht erreichbar.  Kuba könnte am Freitag direkt von “Irma” getroffen werden. Die Behörden sprachen eine Warnung für die zentralen und östlichen Inselteile aus. In der Hauptstadt Havanna bildete sich Schlangen vor Geschäften und Tankstellen, wo sich Einwohner mit Lebensmitteln und Benzin versorgen wollten.  Meteorologen zufolge dürfte der Hurrikan dann am Samstag oder Sonntag die USA erreichen. Unklar ist allerdings, inwieweit er sich dann abgeschwächt hat. Derzeit ist er in der höchsten Kategorie “5” eingestuft. Das NHC rechnet im besten Fall damit, dass er auf “4” zurückgeht. Floridas Gouverneur Rick Scott zufolge könnte “Irma” schwerere Schäden anrichten als der Wirbelsturm “Andrew” 1992 - bis heute einer der teuersten Naturkatastrophen in der Geschichte der USA.  Mit “Katia” und “Jose” bildeten sich am Mittwoch bereits zwei weitere Hurrikans. US-Metereologen erwarteten allerdings nicht, dass “Katia” das US-Festland erreichen wird. “Jose” könnte dagegen der Spur der Verwüstung von “Irma” folgen.
Studie - Terroranschläge bereiten den Deutschen die größte Angst;Die Deutschen fürchten sich einer Umfrage zufolge am meisten vor Terroranschlägen.  Sorgen bereiten ihnen auch rechte und linke Extremisten und negative Folgen der Flüchtlingswelle, wie am Donnerstag aus der Umfrage “Die Ängste der Deutschen 2017” der R+V Versicherung hervorgeht. “Die Angst vor Terroranschlägen liegt mit deutlichem Abstand auf Platz eins und erreicht mit über 70 Prozent einen der höchsten Werte, der jemals in der Langzeitstudie gemessen wurde”, sagte R+V-Expertin Brigitte Römstedt. Die Deutschen reagierten mit großer Sorge auf aktuelle Sicherheitsprobleme. Dank der guten Konjunktur liege die Furcht vor Arbeitslosigkeit allerdings auf einem Rekordtief. Zum 26. Mal wurden rund 2400 Menschen nach ihren größten Sorgen rund um Politik, Wirtschaft, Umwelt, Familie und Gesundheit befragt. Wie im vergangenen Jahr belegen die Ängste vor Terror (71 Prozent) und politischem Extremismus (62 Prozent) die Spitzenplätze. 61 Prozent der Bundesbürger befürchten zudem, dass es durch einen weiteren Zuzug von Ausländern zu Spannungen zwischen Deutschen und bereits hier lebenden Ausländern kommen könnte. Zudem seien Ängste vor Naturkatastrophen und Schadstoffen in Lebensmitteln gestiegen, hieß es in der Studie. 58 Prozent der Befragten fürchten sich außerdem vor den Kosten für die Steuerzahler durch die EU-Schuldenkrise. Eine Überforderung von deutschen Behörden durch Flüchtlinge nannten 57 Prozent als Sorge, 55 Prozent ängstigen sich vor einer Überforderung der Politiker. 52 Prozent der Deutschen sind in Sorge, im Alter pflegebedürftig zu werden.
EZB tagt zu Zinsen und Anleihenkäufen - Kein Kurswechsel erwartet;Die EZB berät an diesem Vormittag in der Frankfurter Zentrale über die Zinsen und ihre billionenschweren Anleihenkäufe.  Börsianer erhoffen sich von Notenbank-Chef Mario Draghi Signale, wie es mit den besonders in Deutschland umstrittenen Wertpapierkäufen weitergehen soll. Denn die Transaktionen laufen Ende 2017 aus. Da die Wirtschaft im Euro-Raum wieder deutlich wächst, könnten die Notenbanker einen weiteren Mini-Schritt Richtung einer weniger expansiven Geldpolitik wagen. Der Präsident des Münchner Ifo-Instituts, Clemens Fuest, sprach sich dafür aus, die Anleihenkäufe ab Januar 2018 schrittweise abzuschmelzen. Endgültige Entscheidungen über eine Eindämmung der Geldflut erwarten die meisten Experten aber noch nicht.  An den Leitzinsen, die bereits seit März 2016 auf dem Rekordtief von 0,0 Prozent liegen, dürften die Ratsmitglieder nicht rütteln. Die EZB will ihren Beschluss um 13.45 Uhr bekanntgeben. Weitere Einzelheiten könnte Draghi dann auf der Pressekonferenz ab 14.30 Uhr vorstellen.  Der Italiener hatte eine Diskussion über die Zukunft des auf 2,28 Billionen Euro angelegten Wertpapier-Programms für den Herbst angekündigt. Zwar steuert die Euro-Zone auf das konjunkturell beste Jahr seit der Finanzkrise zu. Doch die Inflation liegt immer noch unter der EZB-Zielmarke von knapp zwei Prozent. Das macht ein Umschwenken in der Geldpolitik schwieriger. Zudem bereitet den Notenbankern die Aufwertung des Euro Kopfschmerzen. Denn dies verteuert europäische Produkte auf dem Weltmarkt.
