title;text
Blienert, Burkhard
Bosbach, Wolfgang
Brackmann, Norbert
Brähmig, Klaus
Brand, Michael
Brandl, Dr. Reinhard
Brandt, Helmut
Brase, Willi
Brauksiepe, Dr. Ralf
Brehmer, Heike
Brinkhaus, Ralph
Brunner, Dr. Karl-Heinz
Bulmahn, Edelgard
Burkert, Martin

C

Caesar, Cajus
Castellucci, Prof. Dr. Lars
Connemann, Gitta

D

Daldrup, Bernhard
Diaby, Dr. rer. nat. Karamba
Dinges-Dierig, Alexandra
Dittmar, Sabine
Dobrindt, Alexander
Donth, Michael
Dörmann, Martin
Dött, Marie-Luise
Durz, Hansjörg

E

Eberl, Iris
Eckenbach, Jutta
Ehrmann, Siegmund
Engelmeier, Michaela
Erler, Dr. h.c. Gernot
Ernstberger, Petra
Evers-Meyer, Karin

F

Färber, Hermann
Fechner, Dr. Johannes
Feist, Dr. Thomas
Felgentreu, Dr. Fritz
Ferlemann, Enak
Ferner, Elke
Fischbach, Ingrid
Fischer, Dirk
Flachsbarth, Dr. Maria
Flisek, Christian
Flosbach, Klaus-Peter
Fograscher, Gabriele
Franke, Dr. Edgar
Freese, Ulrich
Frei, Thorsten
Freitag, Dagmar
Freudenstein, Dr. Astrid
Friedrich, Dr. Hans-Peter
Frieser, Michael
Fuchtel, Hans-Joachim

G

Gabriel, Sigmar
Gädechens, Ingo
Gebhart, Dr. Thomas
Gerdes, Michael
Gerig, Alois
Gerster, Martin
Gienger, Eberhard
Giousouf, Cemile
Gottschalck, Ulrike
Griese, Kerstin
Grindel, Reinhard
Groden-Kranich, Ursula
Gröhe, Hermann
Gröhler, Klaus-Dieter
Grosse-Brömer, Michael
Grotelüschen, Astrid
Grötsch, Uli
Grübel, Markus
Grund, Manfred
Grundmann, Oliver
Grütters, Monika
Gundelach, Dr. Herlind
Güntzler, Fritz
Gutting, Olav

H

Haase, Christian
Hagedorn, Bettina
Hagl-Kehl, Rita
Hahn, Florian
Hakverdi, Metin
