title;text
Borussia Mönchengladbach 64,54

1899 Hoffenheim 63,14

Eintracht Frankfurt 60,45

Hertha BSC 59,29

FC Schalke 56,17

Anzeige

VfL Wolfsburg 55,18

SC Freiburg 51,50

Werder Bremen 49,87

FSV Mainz 46,20

FC Augsburg 42,87

1. FC Köln 40,34

VfB Stuttgart 39,09

Union Berlin 33,37

Anzeige

Arminia Bielefeld 29,8





2. Liga

Hannover 22,46

Fortuna Düsseldorf 22,33

HSV 20,15

Anzeige

Darmstadt 15,94

1. FC Nürnberg 15,53

1. FC Heidenheim 14,68

VfL Bochum 13,14

SC Paderborn 12,99

Holstein Kiel 12,02

FC St. Pauli 11,51

Greuther Fürth 11,30

Jahn Regensburg 10,62

Erzgebirge Aue 9,74

SV Sandhausen 9,50

Eintracht Braunschweig 8,74

Karlsruher SC 8,52

VfL Osnabrück 8,13

Würzburger Kickers 7,49

"* Quelle: Kicker"""
Die fünf Phasen einer Beziehung;
„Corona kommt schleichend zurück," leider aber mit aller Macht“;""Auf einem Gemüsehof in Niederbayern haben sich mindestens 174 Erntehelfer mit dem Coronavirus infiziert. Alle 480 Mitarbeiter wurden vorsorglich isoliert. Sehen Sie hierzu die Pressekonferenz mit Ministerpräsident Markus Söder in voller Länge."

Anzeige

Bayerns Ministerpräsident Markus Söder (CSU) hat nach der Corona-Masseninfektion auf einem Bauernhof in Niederbayern ein strenges Einhalten der Regeln zur Bekämpfung der Pandemie angemahnt. „Corona verzeiht keinen Leichtsinn“, sagte Söder am Montag in München. Unvernunft, mangelnde Vorsicht und zum Teil bewusste Verstöße gegen Hygienekonzepte und Regeln seien das Problem. Daher sei das Tragen von Mund-Nasen-Schutz ebenso wichtig wie ein Ausbau der Testkapazitäten und gegebenenfalls Quarantäne.

„Corona kommt schleichend zurück, leider aber mit aller Macht“, sagte Söder. Daher sei es wichtig, darauf zu achten, dass aus wenigen Fällen nicht schleichend eine zweite Infektionswelle werde. „Vorsicht muss oberstes Gebot bleiben“, sagte der CSU-Chef.

Bei Verstößen gegen Hygieneauflagen werden künftig 25.000 Euro statt bislang 5000 Euro fällig, wie Söder ankündigte. Als weitere Konsequenz aus dem aktuellen Fall in Mamming (Landkreis Dingolfing-Landau) sollen während der Erntezeit landwirtschaftliche Betriebe in kürzeren Intervallen als bisher geprüft werden, das sei Tag und Nacht unangemeldet möglich, sagte Söder. Zudem sollten alle Saisonarbeiter in Bayern auf Corona getestet werden.

Anzeige

Der Fall in Mamming hatte Behörden und Politik aufgeschreckt. Auf dem großen Gemüsebauernhof arbeiten derzeit fast 500 Erntehelfer aus mehreren Ländern, über ein Drittel hat sich mit dem Corona-Erreger infiziert. Der Hof steht mittlerweile unter Quarantäne und ist mit einem Bauzaun abgesperrt. Niemand darf das Gelände verlassen, Lebensmittel werden angeliefert.

Lesen Sie auch Erschreckende Studie „Aerosole können in kürzester Zeit alle Personen in einem Raum treffen“

Den gut 3300 Bewohnern der Gemeinde bieten die Behörden nun kostenlose Corona-Tests an. Da die Erntehelfer wenig Kontakt zur ortsansässigen Bevölkerung hatten, geht das Landratsamt bisher davon aus, dass sich die Infektionen nicht über den Hof hinaus verbreitet haben.

Bayern will Flug-, Bahn- und Autoreisende auf Coronavirus testen

Bayern will zudem Flug-, Bahn- und Autoreisende auf das Coronavirus testen. Neben den Teststationen an den Flughäfen werde es auch an den Autobahnen im Bereich Walserberg, Pocking und Kiefersfelden sowie an den Hauptbahnhöfen in München und Nürnberg Stationen für Coronatests geben, sagte Söder.

