title;text

Klarsfeld, Beate: Von der →Linken gegen den uralten Kommunistenjäger →Gauck (72) ins Rennen geschickte noch urältere Nazijägerin (73). Sollten sich →Gauck und K. berühren - so vermuten Politologen -, dürften sie sich gegenseitig neutralisieren und einfach in Luft auflösen.

Linke, die: Hätte als einzige →Gauck verhindern können, indem sie ihn einfach selbst nominiert hätte. Kandidaten der L. (→Klarsfeld) werden nämlich mit Sicherheit immer verlieren.

Merkel, Angela: M.," auch genannt """"die schwarze Witwe"""" hat bislang zwei Bundespräsidenten verschlungen und lechzt bereits nach dem dritten."

Nix: Das, wozu man einen Bundespräsidenten eigentlich wirklich braucht.

Olaf Rose: NPD-Kandidat für das Amt des Bundespräsidenten (siehe →Häufchen Elend). Wäre schon einmal  beinahe ertrunken, weil er die Oder-Neiße-Linie nicht anerkennt.

Politikverdrossenheit, die: Um die P. im →Volk zu lindern, die aufkommt, wenn Kandidaten einfach aus politischem Kalkül gekürt werden, haben dieses Mal alle Parteien (ohne die →Linke) gemeinsam einen Kandidaten aus politischem Kalkül gekürt.

Quatsch, blöder: Ergebnis, wenn man geradezu zwanghaft versucht, zu jedem Buchstaben ein passendes Wort mit Bundespräsidentschaftswahlbezug zu finden.

Reichstagsgebäude, das: Hier tritt die →Bundesversammlung zusammen. Das R. leidet schon seit über einem Jahrzehnt unter Parasitenbefall (Bundestag) und wurde deswegen leider vier Jahre zu früh sogar für zwei Wochen vollständig verhüllt und ausgeräuchert.

Seehofer, Horst: Ist als derzeitiger Präsident des Bundesrates solange Staatsoberhaupt, bis ein neuer Bundespräsident gewählt ist. S. stellt damit auch den einzigen triftigen Grund dar, schleunigst einen neuen Bundespräsidenten zu wählen.

Twitter: Via T. wird der Bundespräsident traditionell vorab bekannt gegeben.

Übernachtungen, kostenlose: Währung, in der Bundespräsidenten traditionell bezahlt werden, bevor sie ihren →Ehrensold erhalten. 

Volk, das: Obwohl es den Bundespräsidenten nicht wählen darf, ist er beim V. in der Regel (Ausnahme: →Wulff) unglaublich beliebt - unabhängig von Kompetenz," geistiger Wendigkeit oder Charisma (sog. """"Köhler-Paradoxon""""). Dasselbe galt übrigens für Außenminister vor Westerwelle."

