title;text
Schade, gerade als es spannend wurde. Kleiner Trost: Sollte Wulff  ins Gefängnis müssen," dürfte er sich dort gut  zurechtfinden: Er könnte Urlaub auf Kosten anderer machen und freundschaftliche Gefälligkeiten sind dort quasi Währung."""""

Horst N. (33), Call-Center-Mitarbeiter:
Da hätte sich die Kanzlerin lieber mal ein Beispiel an einem anderen Verein in Berlin nehmen sollen," der ähnlich wie die Koalition auch ständig auf die Mütze kriegt. Als Hertha-Trainer unter Michael Preetz wäre Wulff schon kurz vor Weihnachten geflogen. Aber hochkant!"""""

Tamara J. (24), Studentin:
Wenigstens kann Wulff sich jetzt endlich wieder so richtig um seine Freunde Maschmeyer und Groenewold kümmern. Die werden ihn ganz bestimmt stützen – ganz unabhängig davon," ob er ein politisches Spitzenamt hat oder nicht."""""

Karl-Theodor zu G. (40), EU-Berater für Internetfreiheit:
Plagiat! So einen späten Rücktritt habe ich doch irgendwo schon mal gesehen... Naja," Wulff kann ja dann in ein paar Monaten ohne Brille mit neuer Frisur und ein paar Pfund mehr auf den Rippen zurückkommen und einen Job bei der EU als Korruptionsbekämpfer abgreifen."""""

Hilde W. (61), Hausfrau:
Na hoffentlich erkältet sich der arme Mann nicht," wenn seine Immunität ausgerechnet bei diesem Schmuddelwetter aufgehoben wird."""""

 Foto Guttenberg: Dirk Vorderstraße," CC BY 3.0"""
"Neue Partei ""Bündnis 1,90/Die Hünen"" kämpft für die Belange großer Menschen;""Müssen im Bundestag bald neue Plätze mit mehr Beinfreiheit installiert werden? In Berlin hat eine Gruppe engagierter großwüchsiger Bürger eine neue Partei gegründet", die sich vor allem für die Belange von Menschen mit überdurchschnittlicher Körpergröße einsetzen will. Der Name der neuen," etwas ungelenken Bewegung lautet """"BÜNDNIS 1","90/DIE HÜNEN""""."



Passte leider nicht ins Bild: Wenzel

Die Zeiten, in denen die Politiker sich gegenseitig darin übertroffen haben, Politik für den kleinen Mann von der Straße zu machen," sind vorbei""""", verkündete Parteichef Gregor Wenzel (2,"07 m) auf einer Pressekonferenz. """"Unser Ziel ist es", zu zeigen," dass große Menschen auch nur Menschen sind – nur eben große."""" "
Anschließend formulierte Wenzel die wichtigsten Forderungen aus dem Wahlprogramm der Hünen: Dazu gehören unter anderem eine Mindestgröße für Kleinwagen, die Einführung einer Quote, die Schrebergärtner verpflichtet, pro Gartenzwerg einen Gartenriesen aufzustellen, und die restlose Beseitigung sämtlicher Bolzplätze zugunsten von Basketballfeldern.
Schon bei der nächsten Bundestagswahl möchte die Partei die Fünf-Prozent-Hürde überschreiten," was angesichts der durchschnittlichen Beinlänge ihrer Mitglieder kein Problem darstellen dürfte.  Foto rechts: © picsfive - Fotolia.com; Hinweis: Erstmals erschienen am 15.2.12"""
"Ratgeber: Das ändert sich für Sie beim neuen Punktesystem in Flensburg;""Verkehrsminister Peter Ramsauer (CSU) hat die Flensburger Verkehrssünderkartei reformiert", damit endlich die Schlagzeilen in den Hintergrund rücken, er würde Mitarbeiter nur nach Parteibuch einstellen.
