title;text
Merkel selbst zeigte sich ebenfalls überrascht. So habe sie schnell feststellen müssen, dass nur die allerwenigsten Hellenen hinterhältige Parasiten sind," die """"auf unsere Kosten"""" mit 45 in Rente gehen und Deutschland gleichzeitig als """"Viertes Reich"""" beschimpfen. Vielmehr handle es sich bei """"den Pleite-Griechen"""" erstaunlicherweise um 11 Millionen Individuen mit völlig unterschiedlichen Lebensläufen", Meinungen und Gefühlen. Zudem staunte die Kanzlerin bereits bei ihrer Ankunft, dass - anders als in deutschen Medien dargestellt - kein permanentes Gewitter über der Akropolis herrscht.
"ssi"""
Steinbrück bereit," hohe Nebeneinkünfte gegen ein Honorar von 20.000 Euro zu erklären;""Der erst kürzlich gekürte Kanzlerkandidat der SPD Peer Steinbrück steht in der Kritik", weil er die ungewöhnlich hohen Einnahmen aus seiner Tätigkeit als Berater und Redner nicht offenlegen will. Nun erklärte sich Steinbrück immerhin bereit, eine ausführliche Stellungnahme zu den Anschuldigungen abzugeben – allerdings nur, wenn er dafür einen fünfstelligen Betrag, mindestens aber 20.000 Euro erhält.

Ich wollte mich zu diesem Thema eigentlich überhaupt nicht äußern," würde es mir aber für ein üppiges Honorar noch einmal überlegen"""""," erklärte Peer Steinbrück gegenüber dem Postillon. """"Ich erwarte dafür allerdings mindestens 20.000 Euro. Dieser Betrag ist branchenüblich", niedrigere Summen würden nicht nur dem Preisgefüge," sondern auch meinem Marktwert schaden."""""


So in etwa sah das Honorar aus, das S. von einer
Kanzlei erhielt, mit der er als Minister zu tun hatte

Ab 50.000 Euro, so Steinbrück, könnten etwaige Auftraggeber sogar inhaltlich vorgeben, was genau er sagen soll. Von einer Zurückweisung der Vorwürfe der Käuflichkeit als plumpes Wahlkampfmanöver bis hin zu einem zerknirschten Eingeständnis sei praktisch alles möglich.
Mit der Frage konfrontiert, ob Auftritte als hochdotierter Berater und Redner nicht ein desaströses Bild in der SPD-Wählerschaft abgeben könnten, die sich eher aus dem Arbeitermilieu und einkommensschwächeren Schichten rekrutiert," antwortete Steinbrück: """"Wissen Sie", ich habe nie verstanden," warum diese Menschen keine Reden in internationalen Bankhäusern halten. Das ist total einfach und darüber hinaus auch noch gut bezahlt."""" Foto oben: http://www.dts-nachrichtenagentur.de/nachrichtenbilder"," Foto rechts: © Gina Sanders - Fotolia.com"""
"Das große Postillon-ABC zum Tag der Deutschen Einheit;""Viele arbeitslose Postillon-Leser werden sich heute gedacht haben: """"Warum haben denn die Läden geschlossen? Warum ist die U-Bahn so leer? Hat die Zombie-Apokalypse begonnen?"""" Leider nein! Vielmehr ist heute der 3. Oktober", auch bekannt als Tag der Deutschen Einheit. Doch was genau hat es damit auf sich? Wir haben recherchiert und präsentieren das große Postillon-ABC zum Tag der Deutschen Einheit:

Arbeiter- und Bauernstaat: Frühere Eigenbeschreibung der →DDR, die tatsächlich ein Parteitreuen- und Mauerstaat war. Seit der →Wiedervereinigung haben sich weite Teile Ostdeutschlands in einen Arbeitslosen- und Keine-Frauenstaat verwandelt.

BRD, die: Noch existierender Unrechtsstaat auf deutschem Boden bzw. kapitalistisches Paradies.



Der Hammer: Zirkel auf der Flagge

DDR, die: Vor 22 Jahren untergegangener Unrechtsstaat auf deutschem Boden bzw. sozialistisches Paradies.

Einheit, die Deutsche: Als Deutsche E. wird das Phänomen bezeichnet, dass sich sowohl Ostdeutsche als auch Westdeutsche in einer  Frage (→Deutsche Frage) absolut einig sind: Im Nachhinein war die ganze  Sache mit der Wiedervereinigung eine ziemliche Schnapsidee.
