title,text,author,published,tags,source
Darum dürfen Lebensmittelverpackungen Schadstoffe enthalten,,,1602092365,"Videos, Bisphenol & Co.",welt
Im Vergleich mit Paris und Madrid schneidet Berlin noch gut ab,"Zwar steigen in Berlin die Corona-Zahlen, doch es läuft deutlich besser als in vielen anderen europäischen Hauptstädten. So gilt in Paris die „maximale Alarmstufe“, und in Madrid kommen Krankenhäuser an ihre Grenzen.",,1602091461,"Videos, Corona-Neuinfektionen",welt
In Ersatzbussen gibt es potenzielle Superspreader-Events - prima!,"Immer wenn ich meine Kinder zur Schule bringe, komme ich am Bahnhof Neukölln im gleichnamigen Berliner Bezirk vorbei. Dort steigen viele Schulkinder und Leute auf dem Weg zur Arbeit in die S-Bahn. Normalerweise. Jetzt zwängen sie sich in Busse. Schienenersatzverkehr.

Obwohl die Verkehrsbetriebe alles aufbieten, was sie in der Garage haben, ist es verdammt eng. Die Pendler stehen Schulter an Schulter, die Kinder fast Wange an Wange. Das wäre normalerweise schon ärgerlich genug, aber jetzt kann das Gedränge fatale Auswirkungen haben:",Robin Alexander,1602090935,"Kommentare, Corona",welt
Die erschreckenden Parallelen in Europas Corona-Hotspots,"Europa gleicht dieser Tage einem Flickenteppich: Manche Länder auf der Corona-Landkarte sind tiefrot gefärbt, andere leuchten beunruhigend orange, nur einige wenige signalisieren in freundlichem Gelb, dass sie die Lage noch im Griff haben. Die zweite Welle hat den Kontinent mit voller Wucht erreicht. Beim Blick auf Europas Infektionskurven fällt auf, dass die Lage insbesondere in sechs Ländern zu entgleisen droht. Was ist geschehen – und kann das auch in Deutschland passieren?","Marc Pfitzenmaier, Caroline Turzer, Jens Wiegmann",1602090819,"Ausland, Zweite Welle",welt
AfD rebelliert gegen Maskenpflicht im Bundestag - Ordnungsruf für von Storch,,,1602090736,"Deutschland, Renitente Abgeordnete",welt
Beherbergungsverbot für Reisende aus deutschen Risikogebieten – Wer mitmacht und wer nicht,"Die Politik rät zu Corona-Urlaub in Deutschland. Doch das ist teils nicht so leicht. Wo man hinfahren und übernachten kann, wo Quarantäne gilt, ist vielerorts unterschiedlich. Auch eine neue Absprache zwischen den Ländern birgt Unklarheiten.

Anzeige

Etliche Bundesländer wollen künftig negative Corona-Tests von Urlaubern aus innerdeutschen Risikogebieten verlangen. Das sagte Schleswig-Holsteins Ministerpräsident Daniel Günther (CDU) am Mittwoch in Kiel nach einer Schaltkonferenz von Bund und Ländern.

Wer aus einem vom Robert-Koch-Institut (RKI) festgelegten deutschen Corona-Risikogebiet kommt, dürfe nur dann in der Bundesrepublik in einem Hotel oder einer Gaststätte beherbergt werden, wenn ein negativer Corona-Test vorgelegt wird, heißt es im Beschlusspapier. Der Test dürfe dabei höchstens 48 Stunden alt sein. Wörtlich heißt es: „Maßgeblich für den Beginn der 48-Stunden-Frist ist der Zeitpunkt der Feststellung des Testergebnisses“.

Lesen Sie auch Reisebeschränkungen im Inland „Manche Länder reagieren offenbar panisch“

Für alle anderen gilt ein bundesweites Beherbergungsverbot. Darüber berichtet auch die Deutsche Presse-Agentur nach der Schaltkonferenz der Chefs der Staatskanzleien der Länder mit Kanzleramtschef Helge Braun (CDU). Darin sollte es angesichts teils unterschiedlicher Regelungen um einen einheitlichen Rahmen gehen.

Viele Länder scheren aus

Anzeige

Viele Länder gaben nach der Konferenz jedoch bekannt, ein Beherbergungsverbot nicht umgehend in Kraft zu setzen. Die Länder Bremen, Berlin, Mecklenburg-Vorpommern, Niedersachsen und Thüringen gaben Protokollerklärungen ab, nach denen sie in Teilen von der Übereinkunft abweichen wollen.

Der Berliner Regierung geht es unter anderem darum, als „Gesamtstadt und Einheitsgemeinde“ behandelt zu werden. In einzelnen Bezirken der Stadt liegt der Inzidenzwert bereits deutlich über der Grenze von 50 Neuinfektionen pro 100.000 Einwohnern binnen sieben Tage, auf die gesamte Stadt gerechnet ist der Wert tiefer. Zudem hieß es, Berlin plane anders als die meisten übrigen Bundesländer keine Beherbergungsverbote. Eine Sprecherin des Senats sagte auf Anfrage der Deutschen Presse-Agentur: „Jedes Bundesland muss für sich selbst die Entscheidung treffen, wie es die Pandemie eindämmen kann. Der Berliner Senat hat hier in den letzten Wochen weitreichende Maßnahmen verabschiedet, oft weitreichender als andere Bundesländer.“

Thüringen vertrete die Position, dass nach dem Infektionsschutzgesetz die Verantwortung zunächst bei den regionalen Gesundheitsämtern liege, sagte Ramelow. Diese ordneten Quarantäne für infizierte Menschen oder Menschen mit Corona-Verdacht an. Sie dürften die Region, in denen es einen Infektions-Hotspot gebe, nicht verlassen. Warum jedoch alle Menschen aus einer solchen Region nicht beherbergt werden sollten, sei ihm unverständlich, sagte Ministerpräsident Bodo Ramelow (Die Linke).

Hier können Sie unsere WELT-Podcasts hören Wir nutzen den Player des Anbieters Podigee für unsere WELT-Podcasts. Damit Sie den Podcast-Player sehen können und um mit Inhalten aus Podigee und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Auch Nordrhein-Westfalen erklärte später, vorerst seien keine Beherbergungsverbote für Urlauber aus innerdeutschen Corona-Hotspots in Kraft. „Es gibt keinen Automatismus“, sagte am Mittwoch der Chef der NRW-Staatskanzlei, Nathanael Liminski (CDU). Dieses Instrument könne genutzt werden, wenn das nordrhein-westfälische Gesundheitsministerium bestimmte Regionen entsprechend ausweise. Dafür müsse es ein „anhaltend diffuses Infektionsgeschehen geben“. Man werde dies „sehr genau“ im Blick behalten.

Auch Bremen bleibt trotz der Verständigung der Länder bei seiner skeptischen Haltung gegenüber Reiseeinschränkungen für innerdeutsche Corona-Risikogebiete. Dies habe man am Mittwoch nach einer Schaltkonferenz der Chefs der Staatskanzleien der Länder mit Kanzleramtschef Helge Braun (CDU) auch in einer Protokollnotiz deutlich gemacht, sagte Senatssprecher Christian Dohle am Mittwoch der dpa.Ob Bremen den Beschluss letztlich mittrage, werde erst im Senat beraten. Mecklenburg-Vorpommern will indes seine strengeren Quarantäne-Regeln beibehalten.

Bayern prescht vor

Bayerns Ministerpräsident Markus Söder (CSU) teilte bereits zuvor für sein Land mit, dass Urlauber aus innerdeutschen Corona-Hotspots ohne negativen Corona-Test von diesem Donnerstag an nicht mehr in bayerischen Hotels und Gaststätten übernachten dürfen. Das Beherbergungsverbot soll demnach für Reisende aus Gebieten mit mehr als 50 Neuinfektionen pro 100.000 Einwohnern binnen sieben Tagen gelten. Die genauen Gebiete müssen noch vom bayerischen Gesundheitsministerium benannt werden.

Anzeige

Söder erklärte, dies bedeute „eine Testpflicht de facto für Urlauber, die aus Risikogebieten nach Bayern kommen“. Denn wer einen aktuellen, negativen Corona-Test vorweisen kann, darf auch weiterhin in Hotels in Bayern übernachten. Tests müssen Reisende aber in der Regel aus eigener Tasche bezahlen, wenn sie keine Krankheitsanzeichen haben.

Lesen Sie auch Drostens Antwort Ausnahmezustand für immer

Der SPD-Gesundheitsexperte Karl Lauterbach erklärte, innerdeutsche Testpflichten und Beherbergungsverbote seien wenig sinnvoll. „Wir werden bald so viele betroffene Regionen haben dass die Regel kaum umsetzbar, geschweige denn kontrollierbar ist.“ Zudem müssten Angebote in Deutschland erhalten bleiben, gerade um zu verhindern, dass Deutsche in ausländische Hochrisikoregionen reisen.

Braun hatte einheitliche Regeln angemahnt

Wegen Quarantäneauflagen für Einreisende aus einigen Kommunen und Berliner Stadtbezirken mit hohen Infektionszahlen war zuletzt vor allem Schleswig-Holstein in die Kritik geraten. Auch die Regelung in Rheinland-Pfalz wirkt ähnlich. Beide Landesregierungen zeigten sich kompromissbereit, zu einem bundesweit einheitlichen Rahmen zu kommen.

Kanzleramtschef Braun hatte ein gemeinsames Vorgehen von Bund und Ländern angemahnt. Bei Zweifeln, dass in manchen Gebieten alles Erforderliche getan werde, verstehe er, dass Länder mit niedrigem Infektionsgeschehen versuchten, sich vor einer Ausbreitung zu schützen, sagte Braun der „Bild“. „Das ist nachvollziehbar, aber kann nur eine Behelfsmaßnahme sein, die ihrerseits viele Probleme hervorruft.“

Zentrales Kriterium beim Krisenmanagement ist, ob es in einer Region mehr als 50 Neuinfektionen pro 100.000 Einwohner binnen sieben Tagen gibt. Anhand dieser Schwelle stuft die Bundesregierung auch andere Staaten als „Risikogebiete“ für deutsche Urlauber ein. Im Inland haben Bund und Länder vereinbart, dass ab dieser Marke in „besonders betroffenen Gebieten“ örtliche Gegenmaßnahmen ergriffen werden.","'Hannelore Crolly', 'Ricarda Breyton'",1602090660,"Deutschland, Neue Hotspot-Regel",welt
"""Wer nicht begreift, dass er sich und andere gefährdet, gegen den werden wir vorgehen“",,,1602090369,"Videos, Regierender Bürgermeister",welt
"„Wie kann es sein, dass Schulleiter die Abbrecherquote nicht kennen?“","Berliner Schüler sind in Mathematik unterdurchschnittlich gut. Liegt es an ihnen, den Schulen - oder den Lehrern?

Anzeige

Die wichtigste Erkenntnis der Studie nimmt die Berliner Bildungssenatorin Sandra Scheeres gleich vorweg. „Ich möchte deutlich aussprechen, dass es an der Ausstattung der Berliner Schule nicht liegt“, sagt die SPD-Politikerin am Mittwochmittag in Berlin-Mitte. Scheeres hat Journalisten zu einer Pressekonferenz geladen, um die Ergebnisse einer bemerkenswerten Studie vorzustellen. Ein Jahr lang haben Forscher versucht herauszufinden, warum Berliner Schüler in vielen Bereichen unterdurchschnittlich gut abschneiden. Oder überdurchschnittlich schlecht – je nach Sicht.

Berlin habe seit 2011 „massiv“ in den Bildungshaushalt investiert, sagt Scheeres und zählt auf: 2500 Stellen seien für die Inklusion geschaffen worden, mehr als 2000 Stellen für die Sprachförderung. Im Bundesvergleich investiere man pro Schüler viel, nur Hamburg gebe mehr aus. Dieses Engagement schlage sich allerdings nicht in den Leistungen der Schüler nieder. „Man muss ganz klar sagen, dass ein Großteil unserer Schülerinnen und Schüler die Mindeststandards nicht erreicht.“

Lesen Sie auch Druck in der Schule Wenn von der Freiwilligkeit zur Maske wenig übrig bleibt

Die Misere ist hinreichend belegt. So erreicht etwa ein Drittel der Berliner Neuntklässler die zwischen den Ländern definierten Mindeststandards in Mathe nicht. Bundesweit liegt die Quote bei 25 Prozent. Rund zehn Prozent der Berliner Schüler gingen 2018 ohne Abschluss von der Schule ab – bundesweit waren es knapp sieben Prozent. Was sind die Gründe, will die Senatorin nun wissen – immerhin seit 2011 im Amt. Und: „Was kann man tun?“

An Geld mangelt es in Berlin nicht

Anzeige

Antworten hat Olaf Köller, Direktor des Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik in Kiel. Der renommierte Bildungsforscher wurde schon öfter angefragt, wenn irgendwo ein Bildungssystem brannte – 2017 etwa, als der Hamburger Schulsenator den schlechten Mathekenntnissen seiner Schüler auf den Grund gehen wollte.

2019 beauftragte ihn Scheeres mit der Ursachenforschung – gemeinsam mit einem Team von weiteren Forschern. Die Wissenschaftler wälzten Unterlagen des Senats und Studien, sprachen mit Lehrern, Schülern, Eltern. Herausgekommen ist ein rund 100-seitiger Bericht mit einer Kernbotschaft: In Berlin fehlt es nicht an Ressourcen oder Engagement. Sondern daran, diese zielgerichtet und effizient einzusetzen.

Lesen Sie auch Maskenpflicht für Schulkinder „Haben Sie schon mal versucht, mit Maske zu rennen?“

Es gebe zwar viele Unterstützungsprogramme für Schulen, sagt Köller. Die Wirksamkeit dieser Programme sei allerdings „oftmals nicht klar“. Mitunter würden gar keine klaren Ziele dieser Programme definiert – und wenn sie definiert würden, werde nicht sichergestellt, dass sie erreicht werden. Die Verbindlichkeit fehle, sagt Köller. Heißt: Wenn Schulen etwa zusätzlich Ressourcen für Sprachförderung bekommen, ist nicht sichergestellt, dass sie diese auch wirklich dafür einsetzen. Nicht ausgeschlossen ist, dass Schulen die Mittel stattdessen für Vertretungsunterricht aufbrauchen.

Anzeige

Hinzu kommt ein Problem, das man als falschen Fokus bezeichnen könne. Man konzentriere sich an den Schulen zu sehr auf die Veränderung von Prozessen, „ohne dass sich auf die einzelnen Fächer konkret eingelassen wird“, sagt Köller.

Beispiel „professionelle Lerngemeinschaften“. Darunter versteht man das fächerübergreifende Zusammenarbeiten von Lehrkräften im Team. Dies sei alles zu begrüßen, sagt Köller. Aber am Ende des Tages wolle man auch, dass sich diese professionellen Lerngemeinschaften dann auch in gutem Unterricht niederschlage.

Lesen Sie auch Bildungslücken nach dem Lockdown „Eltern sind die schlechtesten Lehrer, das haben wir jetzt bemerkt“

Es ist ein Kernanliegen der Forschergruppe: Sich auf das Wesentliche, sprich den Unterricht, zu konzentrieren. Immer wieder zeigen Bildungsstudien, dass es darauf vor allem ankommt, wenn sich Schüler verbessern sollen: Die Qualität des Unterrichts, die wiederum von der Qualität der Lehrkraft abhängt.

Anzeige

Auch hier gibt es in Berlin Probleme laut den Forschern. Vor allem bei der hohen Zahl der Quereinsteiger. Zu früh würden sie im Unterricht eingesetzt, die inhaltliche Ausgestaltung der Quereinsteigerausbildung sei kritisch. „Erstaunlich“ sei, dass die entsprechenden Programme „weitgehend ohne Beteiligung der Universitäten“ entwickelt würden.

Bei Fortbildungen fehlt der Fokus

Scheeres hört sich die Ausführungen aufmerksam an, in einigem fühlt sie sich offenbar bestätigt. Auch sie wisse aus den Gesprächen mit den Schulen, dass die Mittel nicht immer dort ankämen, wo sie sollten, sagt sie.

Manche Lehrkräfte seien zwar überaus engagiert bei den Fortbildungen, allerdings fehlt offenbar auch hier mitunter der Fokus. „Wir haben Lehrkräfte, die sind nicht so thematisch konzentriert unterwegs“, sagt sie. „Der Töpferkurs ist nicht unbedingt die wichtigste Fortbildung, sondern vielleicht ist eher Sprachförderung angesagt.“

Schulleiter kennen die Abbrecherquote nicht

Auch fehlt es offenbar an einigen Schulen an Problembewusstsein. Die Senatorin berichtet von Gesprächen mit Schulleitern, die nicht im Bilde darüber seien, dass an ihren Schulen seit Jahren ein hoher Anteil von Jugendlichen ohne Abschluss abgehe. „Wie kann es sein, dass sie die Schulabbrecherquote nicht kennen? Das kann nicht sein.“

Was also tun? Die Forscher empfehlen einen ganzen Katalog an Maßnahmen, von besserer Sprachförderung in der Kita, über regelmäßige Diagnosen bis zu stärkerer Professionalisierung der Lehrkräfte. Alles müsse verbindlicher sein, sagt Köller – und spezifisch an die Bedürfnisse der Schule angepasst. Man brauche ganz klar die Maßgabe: „Weg von der Gießkanne“.

Bleibt die Frage, was an den Brennpunktschulen zu tun ist, an denen Kinder den Lehrkräften auf der Nase herumturnen.

Die Rütli-Schule im Stadtbezirk Neukölln galt lange Zeit als die schlimmste Schule Deutschlands. Das Image hat sich mittlerweile gewandelt (Archivbild) Quelle: picture alliance / dpa

Was all die Empfehlungen brächten, wenn die Kinder erst gar nicht zum Unterricht erscheinen, will eine Journalistin wissen.

„Wir haben viele Schulen, die mit Verhaltensauffälligkeiten konfrontiert sind“, antwortet Köller. Dies sei keine Entschuldigung. Den Schlüssel sieht er auch hier in guter Bildung. „Wenn Schüler ein Kompetenzerleben haben, dann ändert sich auch ihr Sozialverhalten.“ Der Praxistest steht zumindest in Berlin noch aus.",Ricarda Breyton,1602090238,"Deutschland, Berliner Schulkrise",welt
Airbus-Chef sieht in E-Autos eine Mogelpackung - und schwört auf Wasserstoff,"Wenn künftig mehrere zehn Milliarden Euro für ein Airbus-Modell ohne CO -Ausstoß investiert werden, müsse sichergestellt sein, dass es dann auch „grüner Wasserstoff ist“, forderte Faury. Darunter verstehen Experten die Produktion des Gases ohne CO -Ausstoß, etwa durch den Einsatz Erneuerbarer Energien. Airbus hatte jüngst angekündigt, bis 2035 ein Passagierflugzeug ohne CO -Ausstoß auf den Markt zu bringen. Unter dem Projektnamen ZeroE werden zunächst drei unterschiedliche technische Konzepte für ein laut Airbus emissionsfreies Flugzeug untersucht.",Gerhard Hegmann,1602088814,"Wirtschaft, Sauberes Fliegen",welt
Auf dem Friedhof sucht die Polizei vergeblich nach ihrem Handy,"Ende September kam eine 40-Jährige in ihrer Wohnung, in der sie auch als Prostituierte arbeitete, gewaltsam zu Tode. Auf einem Friedhof suchte die Polizei nun vergeblich nach ihrem Handy. Eine Belohnung soll bei der Aufklärung des Verbrechens helfen.

Anzeige

Nach dem gewaltsamen Tod einer Frau in einem Mehrfamilienhaus in Rendsburg haben Polizisten am Mittwoch ein Friedhofsgelände vergeblich nach dem Smartphone des Opfers abgesucht. „Wir haben bislang noch keine heiße Spur“, sagte der Kieler Oberstaatsanwalt Axel Bieler. Rund 20 Polizisten suchten auch mit Metall-Detektoren auf dem Altstädter Friedhof nach dem Smartphone. Der Friedhof ist direkt auf der anderen Straßenseite gegenüber der Wohnung der 40-Jährigen gelegen.

Die Ermittler schließen nicht aus, dass der Täter das Handy an sich genommen und später entsorgt hat. Nach Polizeiangaben handelt es sich um ein Samsung Galaxy A20s in auffallend roter Farbe. Es sei nicht auszuschließen, dass Unbeteiligte das Gerät später auf dem Friedhof fanden und mitnahmen. Sollte dies der Fall sein, bittet die Kriminalpolizei darum, sich unter der Rufnummer 0431 – 160 3333 mit den Ermittlern in Verbindung zu setzen.

Bei ihrer Suche stellten die Polizisten am Mittwoch aber andere Gegenstände sicher. Sie wollen nun prüfen, ob sie mit der Tat in Zusammenhang stehen könnten. Nähere Angaben zu den sichergestellten Gegenständen machte die Polizei nicht.

Polizei lobt Belohnung von 3000 Euro für Hinweise aus

Anzeige

Ein Bekannter hatte die 40-Jährige am Abend des 28. September tot in der Wohnung entdeckt. Die Kieler Staatsanwaltschaft hat eine Belohnung in Höhe von 3000 Euro für Hinweise zur Aufklärung des Verbrechens sowie die Beschaffung des Smartphones der Frau ausgelobt und auch ein Foto der Frau veröffentlicht. Sie arbeitete in ihrer Wohnung als Prostituierte und war häufig in Begleitung ihres Chihuahuas zu sehen gewesen.

Bislang sind in dem Fall bei der Polizei noch keine konkreteren Hinweise eingegangen. „Wir interessieren uns insbesondere für Beobachtungen rund um die Wohnung aus dem Zeitraum vom 25. bis 27. September“, sagte Oberstaatsanwalt Bieler. Es sei noch offen, ob möglicherweise ein Kunde der Frau als Täter infrage komme.",André Klohn,1602088452,"Hamburg, Tote Prostituierte",welt
